iter	Passed	Remaining
0	13	1294
1	40	1866
2	66	2035
3	94	2141
4	116	2094
5	138	2054
6	162	2037
7	188	2048
8	216	2067
9	244	2079
10	258	1974
11	286	1983
12	313	1975
13	339	1962
14	365	1948
15	391	1930
16	416	1910
17	425	1820
18	453	1814
19	480	1800
20	506	1783
21	532	1767
22	558	1746
23	574	1700
24	601	1682
25	627	1665
26	653	1644
27	679	1625
28	700	1594
29	723	1567
30	743	1534
31	770	1516
32	795	1495
33	822	1476
34	848	1454
35	874	1433
36	900	1412
37	928	1392
38	945	1357
39	970	1334
40	996	1312
41	1022	1290
42	1047	1267
43	1074	1245
44	1103	1225
45	1128	1202
46	1142	1166
47	1167	1143
48	1192	1119
49	1219	1097
50	1246	1075
51	1271	1051
52	1287	1020
53	1315	998
54	1336	971
55	1361	948
56	1387	924
57	1408	898
58	1434	875
59	1462	853
60	1489	830
61	1516	807
62	1530	777
63	1556	753
64	1581	729
65	1607	706
66	1637	684
67	1663	660
68	1689	636
69	1715	612
70	1741	588
71	1767	564
72	1793	540
73	1828	519
74	1854	494
75	1880	470
76	1907	445
77	1936	421
78	1957	396
79	1983	371
80	1996	345
81	2021	320
82	2047	295
83	2073	271
84	2100	247
85	2127	222
86	2148	197
87	2174	172
88	2200	148
89	2227	123
90	2257	99
91	2285	74
92	2314	49
93	2340	24
94	2366	0
